rank,destination_id,ten_diem_den,tinh_thanh,vung,loai_hinh_du_lich,muc_canh_bao,diem_ap_luc,rui_ro_thoi_tiet,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,du_bao_3_thang,co_hoi_kinh_te,kha_nang_dieu_phoi,diem_san_sang_ha_tang,loai_du_lieu,do_tin_cay,nguyen_nhan_chinh,hanh_dong_de_xuat,hieu_qua_kinh_te_ky_vong,cap_nhat_lan_cuoi,nhiet_do_hien_tai,mua_hien_tai,gio_hien_tai,do_am_hien_tai,trang_thai_thoi_tiet_ngan,cap_nhat_thoi_tiet_luc,lat,lng,coastal_zone,diem_uu_tien_dau_tu,diem_suc_khoe_diem_den
43,co_to,Cô Tô,Quảng Ninh,Đông Bắc,đảo; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,20.9736,107.7657,yes,41.77,81.8
44,tra_co,Trà Cổ,Quảng Ninh,Đông Bắc,bãi biển; biên giới,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,21.4644,108.0142,yes,41.77,81.8
45,ho_tram,Hồ Tràm,Bà Rịa - Vũng Tàu,Đông Nam Bộ,bãi biển; nghỉ dưỡng,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,10.477,107.426,yes,41.77,81.8
46,can_gio,Cần Giờ,TP Hồ Chí Minh,Đông Nam Bộ,biển; sinh thái,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,10.4111,106.9547,yes,41.77,81.8
47,hon_son,Hòn Sơn,Kiên Giang,Đảo Tây Nam Bộ,đảo; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,9.81,104.63,yes,41.77,81.8
48,nam_du,Nam Du,Kiên Giang,Đảo Tây Nam Bộ,đảo; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,9.684,104.354,yes,41.77,81.8
49,bac_lieu,Bạc Liêu,Bạc Liêu,Đồng bằng sông Cửu Long,biển; văn hóa,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,9.294,105.7244,yes,41.77,81.8
50,ca_mau_dat_mui,Đất Mũi Cà Mau,Cà Mau,Đồng bằng sông Cửu Long,sinh thái; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,8.6208,104.7314,yes,41.77,81.8
51,soc_trang,Sóc Trăng,Sóc Trăng,Đồng bằng sông Cửu Long,văn hóa; Mekong,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,9.6025,105.9739,yes,41.77,81.8
52,tra_vinh,Trà Vinh,Trà Vinh,Đồng bằng sông Cửu Long,văn hóa; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,9.9347,106.3453,yes,41.77,81.8
53,do_son,Đồ Sơn,Hải Phòng,Đồng bằng sông Hồng,bãi biển; đô thị,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,20.7149,106.7894,yes,41.77,81.8
54,thinh_long,Thịnh Long,Nam Định,Đồng bằng sông Hồng,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,20.0333,106.2833,yes,41.77,81.8
55,moc_chau,Mộc Châu,Sơn La,Miền núi phía Bắc,núi; tự nhiên,xám,34.61,46.02,38.03,33.46,30.48,29.25,24.31,35.0,32.1,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,22.4,0.0,5.9,97,Ổn định,21/05/2026 13:18,20.8297,104.6946,no,42.14,82.55
56,ben_tre,Bến Tre,Bến Tre,Đồng bằng sông Cửu Long,Mekong; sinh thái,xám,33.56,43.02,36.4,32.67,30.2,29.12,24.78,35.0,32.84,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.4,0.0,4.9,87,Ổn định,21/05/2026 13:18,10.2434,106.3756,no,41.81,84.0
57,an_giang,An Giang,An Giang,Đồng bằng sông Cửu Long,Mekong; di sản; tự nhiên,xám,32.63,40.38,34.96,31.97,29.96,29.01,25.2,35.0,33.51,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,28.0,0.0,3.1,80,Ổn định,21/05/2026 13:18,10.5216,105.1259,no,41.51,85.27
58,can_tho,Cần Thơ,Cần Thơ,Đồng bằng sông Cửu Long,Mekong; đô thị,xám,32.07,38.76,34.08,31.55,30.16,29.56,27.16,35.0,34.92,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.0,0.0,5.2,91,Ổn định,21/05/2026 13:18,10.0452,105.7469,no,41.66,86.35
59,nha_trang,Nha Trang,Khánh Hòa,Nam Trung Bộ,biển; đô thị,xám,28.72,43.08,33.03,27.07,29.33,32.79,46.63,35.0,50.78,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.7,0.0,4.6,90,Ổn định,21/05/2026 13:18,12.2388,109.1967,yes,43.06,91.54
60,con_dao,Côn Đảo,Bà Rịa - Vũng Tàu,Đảo Đông Nam Bộ,đảo; biển; di sản,xám,27.69,65.62,39.07,22.68,19.14,21.31,30.01,35.0,36.71,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,29.4,0.0,16.9,76,Ổn định,21/05/2026 13:18,8.6864,106.6082,yes,41.08,82.15
61,sa_pa,Sa Pa,Lào Cai,Miền núi phía Bắc,núi; tự nhiên,xám,24.69,50.8,32.52,21.32,21.61,25.22,39.64,35.0,44.99,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,18.4,0.2,7.0,99,Ổn định,21/05/2026 13:18,22.3364,103.8438,no,41.28,89.69
62,ho_chi_minh_city,TP Hồ Chí Minh,TP Hồ Chí Minh,Đông Nam Bộ,đô thị; cửa ngõ,xám,16.48,47.1,25.67,12.36,12.3,16.37,32.66,75.2,40.17,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.5,0.0,6.5,91,Ổn định,21/05/2026 13:18,10.8231,106.6297,no,38.12,92.86
63,da_lat,Đà Lạt,Lâm Đồng,Tây Nguyên,núi; đô thị,xám,16.38,41.74,23.99,13.0,18.25,25.82,56.12,35.0,55.42,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,18.1,0.0,5.3,100,Ổn định,21/05/2026 13:18,11.9404,108.4583,no,42.15,98.82
